"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-76.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","109994","0","0,000","3","","1","1","0","0,270","0","0","0","0","0","0","","","","","","0,095","Thu, 03 Jan 2013 12:19:10 GMT","","","","1.1","https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-76.pdf","2023-04-13 15:16:18"
"https://www.bvsas.sk/novinky/prvy-bratislavsky-aquafest-21-marca.html","text/html;charset=utf-8","200","","Indexable","","Prvý bratislavský AQUAFEST - 21. marca | BVS a. s.","50","464","Bratislavská vodárenská spoločnosť organizuje 21. marca 2015 prvý bratislavský AQUAFEST.","88","585","","0","Prvý bratislavský AQUAFEST - 21. marca","38","","0","Táto webová stránka používa cookies","35","","0","index, follow","","","https://www.bvsas.sk/novinky/prvy-bratislavsky-aquafest-21-marca.html","","","","","","50525","565","8,867","7","","3","1","0","0,270","100","57","0","12","9","0","","","","","26a115fc967e97cee75debde16e23143","0,024","","","","","1.1","https://www.bvsas.sk/novinky/prvy-bratislavsky-aquafest-21-marca.html","2023-04-13 15:27:47"
"https://www.bvsas.sk/files/o-nas/legislativa/2017/zod_103_2017_bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","3867873","0","0,000","3","","1","1","0","0,270","0","0","0","0","0","0","","","","","","0,055","Tue, 04 Jul 2017 11:06:54 GMT","","","","1.1","https://www.bvsas.sk/files/o-nas/legislativa/2017/zod_103_2017_bvs.pdf","2023-04-13 15:16:18"
"https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/fv-2018/_bsk9373.jpg","image/jpeg;charset=UTF-8","200","","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","222457","0","0,000","3","","1","1","0","0,270","0","0","0","0","0","0","","","","","","0,045","Tue, 20 Dec 2022 12:47:36 GMT","","","","1.1","https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/fv-2018/_bsk9373.jpg","2023-04-13 15:16:18"
"https://www.bvsas.sk/files/o-nas/legislativa/1064.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","693039","0","0,000","3","","1","1","0","0,270","0","0","0","0","0","0","","","","","","0,061","Fri, 03 Feb 2017 09:55:48 GMT","","","","1.1","https://www.bvsas.sk/files/o-nas/legislativa/1064.pdf","2023-04-13 15:16:18"
"https://www.bvsas.sk/images/gallery/kvalita-vody/pitne-fontany/lokality/rusovce/s_rusovce-2.jpg","image/jpeg;charset=UTF-8","200","","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","7956","0","0,000","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,022","Sun, 27 Nov 2022 16:03:54 GMT","","","","1.1","https://www.bvsas.sk/images/gallery/kvalita-vody/pitne-fontany/lokality/rusovce/s_rusovce-2.jpg","2023-04-13 14:53:46"
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/muzeum-expozicie/vonkajsia-expozicia/s_vonkajsia-expozicia-007.jpg","image/jpeg;charset=UTF-8","200","","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","31479","0","0,000","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,039","Tue, 01 Feb 2022 10:21:35 GMT","","","","1.1","https://www.bvsas.sk/images/gallery/vodarenske-muzeum/muzeum-expozicie/vonkajsia-expozicia/s_vonkajsia-expozicia-007.jpg","2023-04-13 15:16:18"
"https://www.bvsas.sk/files/o-nas/rocne-spravy/uverejnenie-vysledkov-hlasovania-rvz-19-12-2019.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","195767","0","0,000","2","","1","1","0","0,270","0","0","0","0","0","0","","","","","","0,419","Thu, 02 Jan 2020 12:54:22 GMT","","","","1.1","https://www.bvsas.sk/files/o-nas/rocne-spravy/uverejnenie-vysledkov-hlasovania-rvz-19-12-2019.pdf","2023-04-13 14:53:46"
"https://www.bvsas.sk/files/o-nas/envirometalne-informacie/bvs-rok-2020.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","200","","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","14085","0","0,000","3","","1","1","0","0,270","0","0","0","0","0","0","","","","","","0,037","Thu, 25 Mar 2021 16:42:07 GMT","","","","1.1","https://www.bvsas.sk/files/o-nas/envirometalne-informacie/bvs-rok-2020.xlsx","2023-04-13 15:16:18"
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/muzeum-expozicie/expozicia-vodarenskeho-muzea/expozicia/s_vodarenske-muzeum_expozicie-03.jpg","image/jpeg;charset=UTF-8","200","","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","15857","0","0,000","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,031","Tue, 25 Jan 2022 14:02:50 GMT","","","","1.1","https://www.bvsas.sk/images/gallery/vodarenske-muzeum/muzeum-expozicie/expozicia-vodarenskeho-muzea/expozicia/s_vodarenske-muzeum_expozicie-03.jpg","2023-04-13 15:16:18"
