"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zops-214-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","97","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zops-214-2021-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/2018/kp-239-2019-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","69","","https://www.bvsas.sk/files/o-nas/legislativa/2018/kp-239-2019-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2021/ost-97-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","79","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2021/ost-97-2021-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/831.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/831.pdf"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/infraservices-zmluvy/is21-100-010.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","92","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/infraservices-zmluvy/is21-100-010.pdf"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/kp-17-2022-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","94","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/kp-17-2022-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-18.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","61","","https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-18.pdf"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/kp-179-2020-bvs.pdf","","0","Connection Timeout","Non-Indexable","No Response","","79","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/kp-179-2020-bvs.pdf"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/bk-193-2021-bvs.pdf","","0","Connection Timeout","Non-Indexable","No Response","","95","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/bk-193-2021-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/590.pdf","","0","Connection Timeout","Non-Indexable","No Response","","52","","https://www.bvsas.sk/files/o-nas/legislativa/590.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/317.pdf","","0","Connection Timeout","Non-Indexable","No Response","","52","","https://www.bvsas.sk/files/o-nas/legislativa/317.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/808.pdf","","0","Connection Timeout","Non-Indexable","No Response","","52","","https://www.bvsas.sk/files/o-nas/legislativa/808.pdf"
"https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fnovinky%2Fvyhodnotenie-generalneho-pardonu.html","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","121","","https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fnovinky%2Fvyhodnotenie-generalneho-pardonu.html"
"https://www.bvsas.sk/images/gallery/modra-skola/vyucbovy-programy/mon_2296.jpg","","0","Connection Timeout","Non-Indexable","No Response","","78","","https://www.bvsas.sk/images/gallery/modra-skola/vyucbovy-programy/mon_2296.jpg"
"https://www.bvsas.sk/files/o-nas/legislativa/563.pdf","","0","Connection Timeout","Non-Indexable","No Response","","52","","https://www.bvsas.sk/files/o-nas/legislativa/563.pdf"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zos-298-2021-bvs.pdf","","0","Connection Timeout","Non-Indexable","No Response","","96","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zos-298-2021-bvs.pdf"
"https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/novy-podadresar/objekty-bvs/mon_2624.jpg","","0","Connection Timeout","Non-Indexable","No Response","","100","","https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/novy-podadresar/objekty-bvs/mon_2624.jpg"
"https://www.bvsas.sk/files/o-nas/legislativa/520.pdf","","0","Connection Timeout","Non-Indexable","No Response","","52","","https://www.bvsas.sk/files/o-nas/legislativa/520.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/466.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/466.pdf"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zod-394-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","96","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zod-394-2021-bvs.pdf"
"https://www.bvsas.sk/novinky/prerusenie-dodavok-vody-do-obce-hradiste-pod-vratnom.html","text/html;charset=utf-8","200","","Indexable","","32960826ca8f08895830d8bb9399934f","86","https://www.bvsas.sk/novinky/prerusenie-dodavok-vody-do-obce-hradiste-pod-vratnom.html","https://www.bvsas.sk/novinky/prerusenie-dodavok-vody-do-obce-hradiste-pod-vratnom.html"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/zops-273-2020-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","81","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/zops-273-2020-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/164.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/164.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/229.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/229.pdf"
"https://www.bvsas.sk/images/bvs_web/aktuality/festival_vody/01.jpg","text/html;charset=utf-8","404","","Non-Indexable","Client Error","","66","","https://www.bvsas.sk/images/bvs_web/aktuality/festival_vody/01.jpg"
"https://www.bvsas.sk/files/tlaciva/nova-web-stranka/ziadost-rozbor-vody.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","75","","https://www.bvsas.sk/files/tlaciva/nova-web-stranka/ziadost-rozbor-vody.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/822.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/822.pdf"
"https://www.bvsas.sk/ukazovatele-kvality-vody/","text/html;charset=utf-8","200","","Indexable","","f41a7888420c2f6e8df4f832ef242433","46","https://www.bvsas.sk/ukazovatele-kvality-vody/","https://www.bvsas.sk/ukazovatele-kvality-vody/"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/ost-184-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","96","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/ost-184-2021-bvs.pdf"
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/muzeum-expozicie/vonkajsia-expozicia/vonkajsia-expozicia-005.jpg","image/jpeg;charset=UTF-8","200","","Indexable","","","118","","https://www.bvsas.sk/images/gallery/vodarenske-muzeum/muzeum-expozicie/vonkajsia-expozicia/vonkajsia-expozicia-005.jpg"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/zos-289-2019-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","80","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/zos-289-2019-bvs.pdf"
"https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fnovinky%2Fbvs-vymeni-straznu-sluzbu.html","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","114","","https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fnovinky%2Fbvs-vymeni-straznu-sluzbu.html"
"https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-102.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","62","","https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-102.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/1021.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","53","","https://www.bvsas.sk/files/o-nas/legislativa/1021.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-41.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","61","","https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-41.pdf"
"https://www.bvsas.sk/files/aktuality/vysledky-rozborov-2012/vysledky-rozborov-1-400.pdf","text/html;charset=utf-8","404","","Non-Indexable","Client Error","","87","","https://www.bvsas.sk/files/aktuality/vysledky-rozborov-2012/vysledky-rozborov-1-400.pdf"
"https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fnovinky%2Fnove-pitne-fontanky-od-bvs-osviezia-bratislavcanov.html","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","139","","https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fnovinky%2Fnove-pitne-fontanky-od-bvs-osviezia-bratislavcanov.html"
"https://www.bvsas.sk/files/o-nas/legislativa/993.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/993.pdf"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/dod-c-1-k-zops-152-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","107","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/dod-c-1-k-zops-152-2021-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/423.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/423.pdf"
"https://www.bvsas.sk/images/gallery/modra-skola/vyucbovy-programy/_bsk6147.jpg","image/jpeg;charset=UTF-8","200","","Indexable","","","78","","https://www.bvsas.sk/images/gallery/modra-skola/vyucbovy-programy/_bsk6147.jpg"
"https://www.bvsas.sk/images/gallery/vodarenske-muzeum/fotogaleria/karloveske-rameno/karloveske-rameno-06.jpg","","0","Connection Timeout","Non-Indexable","No Response","","108","","https://www.bvsas.sk/images/gallery/vodarenske-muzeum/fotogaleria/karloveske-rameno/karloveske-rameno-06.jpg"
"https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/fv-2016/s_mon_0117.jpg","image/jpeg;charset=UTF-8","200","","Indexable","","","96","","https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/fv-2016/s_mon_0117.jpg"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zops-419-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","97","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/zops-419-2021-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/2018/zel-207-2019-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","70","","https://www.bvsas.sk/files/o-nas/legislativa/2018/zel-207-2019-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/ost-339-2020-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","80","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/ost-339-2020-bvs.pdf"
"https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/povinne-zverejnovanie-zmluvy-infraservices/is21-241-018.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","135","","https://www.bvsas.sk/files/linky-paticke/legislativa/povinnne-zverejnovanie/povinne-zverejnovanie-zmluvy-infraservices/is21-241-018.pdf"
"https://www.bvsas.sk/files/pomoc-podpora/formulare-ziadosti/15-podklady-uzatvorenie-zmluvy-odvadzani-vod-z-povrchoveho-odtoku-verejnou-kanalizaciou-fo-24-1-3-06.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","164","","https://www.bvsas.sk/files/pomoc-podpora/formulare-ziadosti/15-podklady-uzatvorenie-zmluvy-odvadzani-vod-z-povrchoveho-odtoku-verejnou-kanalizaciou-fo-24-1-3-06.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-203.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","62","","https://www.bvsas.sk/files/o-nas/legislativa/oznamenie-203.pdf"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2021/zod-11-2021-bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","79","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2021/zod-11-2021-bvs.pdf"
"https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/dz_81_2021_bvs.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","78","","https://www.bvsas.sk/files/o-nas/povinne-zverejnovanie/2020/dz_81_2021_bvs.pdf"
"https://www.bvsas.sk/files/bvs_web/aktuality/vysledky-rozborov-2018/kompletne-vysledky-rozboru-vody-2018.pdf","text/html;charset=utf-8","404","","Non-Indexable","Client Error","","108","","https://www.bvsas.sk/files/bvs_web/aktuality/vysledky-rozborov-2018/kompletne-vysledky-rozboru-vody-2018.pdf"
"https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fdomacnosti%2Fvodomer%2Fnahlasenie-prostednictvom-mailu%2F","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","131","","https://www.bvsas.sk/components/form/spamprotectiondisable.jsp?backurl=%2Fdomacnosti%2Fvodomer%2Fnahlasenie-prostednictvom-mailu%2F"
"https://www.bvsas.sk/files/o-nas/legislativa/664.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/664.pdf"
"https://www.bvsas.sk/files/o-nas/legislativa/128.pdf","application/pdf;charset=UTF-8","200","","Indexable","","","52","","https://www.bvsas.sk/files/o-nas/legislativa/128.pdf"
"https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/fv-2019/s_dsc05033.jpg","image/jpeg;charset=UTF-8","200","","Indexable","","","96","","https://www.bvsas.sk/images/gallery/modra-skola/fotagaleria/festival-vody/fv-2019/s_dsc05033.jpg"
